"Composite.Variable","Year","Herbicide.Treatment","Site","Patch","BFLY.Common.Name","Number"
"2014-Con","2014","Con","PYW","PYW-S","meadow fritillary",2
"2015-Con","2015","Con","PYW","PYW-S","meadow fritillary",1
"2016-Con","2016","Con","PYW","PYW-S","meadow fritillary",6
"2017-Con","2017","Con","PYW","PYW-S","meadow fritillary",2
"2017-SnS","2017","SnS","GIL","GIL-C","monarch",1
"2014-Spr","2014","Spr","GIL","GIL-N","monarch",1
"2015-Spr","2015","Spr","GIL","GIL-N","monarch",2
"2017-Spr","2017","Spr","GIL","GIL-N","monarch",3
"2014-Con","2014","Con","GIL","GIL-S","monarch",1
"2017-Con","2017","Con","GIL","GIL-S","monarch",1
"2014-Spr","2014","Spr","LTR","LTR-C","monarch",2
"2015-Spr","2015","Spr","LTR","LTR-C","monarch",3
"2017-Spr","2017","Spr","LTR","LTR-C","monarch",2
"2014-SnS","2014","SnS","LTR","LTR-E","monarch",2
"2015-SnS","2015","SnS","LTR","LTR-E","monarch",1
"2017-SnS","2017","SnS","LTR","LTR-E","monarch",3
"2017-Con","2017","Con","LTR","LTR-W","monarch",2
"2014-Spr","2014","Spr","PYW","PYW-C","monarch",5
"2015-Spr","2015","Spr","PYW","PYW-C","monarch",3
"2017-Spr","2017","Spr","PYW","PYW-C","monarch",1
"2014-SnS","2014","SnS","PYW","PYW-N","monarch",3
"2015-SnS","2015","SnS","PYW","PYW-N","monarch",4
"2014-Con","2014","Con","PYW","PYW-S","monarch",2
"2015-Con","2015","Con","PYW","PYW-S","monarch",1
"2016-Con","2016","Con","PYW","PYW-S","monarch",1
"2014-SnS","2014","SnS","GIL","GIL-C","orange sulphur",6
"2015-SnS","2015","SnS","GIL","GIL-C","orange sulphur",8
"2016-SnS","2016","SnS","GIL","GIL-C","orange sulphur",30
"2017-SnS","2017","SnS","GIL","GIL-C","orange sulphur",20
"2014-Spr","2014","Spr","GIL","GIL-N","orange sulphur",6
"2015-Spr","2015","Spr","GIL","GIL-N","orange sulphur",2
"2016-Spr","2016","Spr","GIL","GIL-N","orange sulphur",46
"2017-Spr","2017","Spr","GIL","GIL-N","orange sulphur",17
"2014-Con","2014","Con","GIL","GIL-S","orange sulphur",7
"2015-Con","2015","Con","GIL","GIL-S","orange sulphur",3
"2016-Con","2016","Con","GIL","GIL-S","orange sulphur",12
"2017-Con","2017","Con","GIL","GIL-S","orange sulphur",3
"2014-Spr","2014","Spr","LTR","LTR-C","orange sulphur",8
"2015-Spr","2015","Spr","LTR","LTR-C","orange sulphur",12
"2016-Spr","2016","Spr","LTR","LTR-C","orange sulphur",30
"2017-Spr","2017","Spr","LTR","LTR-C","orange sulphur",23
"2014-SnS","2014","SnS","LTR","LTR-E","orange sulphur",10
"2015-SnS","2015","SnS","LTR","LTR-E","orange sulphur",15
"2016-SnS","2016","SnS","LTR","LTR-E","orange sulphur",65
"2017-SnS","2017","SnS","LTR","LTR-E","orange sulphur",24
"2014-Con","2014","Con","LTR","LTR-W","orange sulphur",11
"2015-Con","2015","Con","LTR","LTR-W","orange sulphur",6
"2016-Con","2016","Con","LTR","LTR-W","orange sulphur",15
"2017-Con","2017","Con","LTR","LTR-W","orange sulphur",26
"2014-Spr","2014","Spr","PYW","PYW-C","orange sulphur",9
"2015-Spr","2015","Spr","PYW","PYW-C","orange sulphur",5
"2016-Spr","2016","Spr","PYW","PYW-C","orange sulphur",20
"2017-Spr","2017","Spr","PYW","PYW-C","orange sulphur",4
"2014-SnS","2014","SnS","PYW","PYW-N","orange sulphur",17
"2015-SnS","2015","SnS","PYW","PYW-N","orange sulphur",8
"2016-SnS","2016","SnS","PYW","PYW-N","orange sulphur",8
"2017-SnS","2017","SnS","PYW","PYW-N","orange sulphur",4
"2014-Con","2014","Con","PYW","PYW-S","orange sulphur",15
"2015-Con","2015","Con","PYW","PYW-S","orange sulphur",14
"2016-Con","2016","Con","PYW","PYW-S","orange sulphur",12
"2017-Con","2017","Con","PYW","PYW-S","orange sulphur",8
"2015-SnS","2015","SnS","GIL","GIL-C","painted lady",1
"2015-Con","2015","Con","GIL","GIL-S","painted lady",1
"2015-SnS","2015","SnS","LTR","LTR-E","painted lady",1
"2017-SnS","2017","SnS","LTR","LTR-E","painted lady",1
"2015-SnS","2015","SnS","PYW","PYW-N","painted lady",1
"2017-Con","2017","Con","PYW","PYW-S","painted lady",1
"2014-SnS","2014","SnS","GIL","GIL-C","pearl crescent",2
"2015-SnS","2015","SnS","GIL","GIL-C","pearl crescent",2
"2016-SnS","2016","SnS","GIL","GIL-C","pearl crescent",7
"2017-SnS","2017","SnS","GIL","GIL-C","pearl crescent",16
"2014-Spr","2014","Spr","GIL","GIL-N","pearl crescent",2
"2015-Spr","2015","Spr","GIL","GIL-N","pearl crescent",1
"2016-Spr","2016","Spr","GIL","GIL-N","pearl crescent",2
"2017-Spr","2017","Spr","GIL","GIL-N","pearl crescent",15
"2014-Con","2014","Con","GIL","GIL-S","pearl crescent",4
"2015-Con","2015","Con","GIL","GIL-S","pearl crescent",3
"2016-Con","2016","Con","GIL","GIL-S","pearl crescent",3
"2017-Con","2017","Con","GIL","GIL-S","pearl crescent",3
"2014-Spr","2014","Spr","LTR","LTR-C","pearl crescent",3
"2015-Spr","2015","Spr","LTR","LTR-C","pearl crescent",3
"2016-Spr","2016","Spr","LTR","LTR-C","pearl crescent",3
"2017-Spr","2017","Spr","LTR","LTR-C","pearl crescent",20
"2015-SnS","2015","SnS","LTR","LTR-E","pearl crescent",6
"2016-SnS","2016","SnS","LTR","LTR-E","pearl crescent",7
"2017-SnS","2017","SnS","LTR","LTR-E","pearl crescent",15
"2014-Con","2014","Con","LTR","LTR-W","pearl crescent",2
"2015-Con","2015","Con","LTR","LTR-W","pearl crescent",4
"2016-Con","2016","Con","LTR","LTR-W","pearl crescent",2
"2017-Con","2017","Con","LTR","LTR-W","pearl crescent",8
"2014-Spr","2014","Spr","PYW","PYW-C","pearl crescent",2
"2015-Spr","2015","Spr","PYW","PYW-C","pearl crescent",1
"2016-Spr","2016","Spr","PYW","PYW-C","pearl crescent",9
"2017-Spr","2017","Spr","PYW","PYW-C","pearl crescent",8
"2016-SnS","2016","SnS","PYW","PYW-N","pearl crescent",5
"2017-SnS","2017","SnS","PYW","PYW-N","pearl crescent",12
"2014-Con","2014","Con","PYW","PYW-S","pearl crescent",1
"2016-Con","2016","Con","PYW","PYW-S","pearl crescent",1
"2017-Con","2017","Con","PYW","PYW-S","pearl crescent",1
"2016-SnS","2016","SnS","GIL","GIL-C","peck's skipper",1
"2017-SnS","2017","SnS","GIL","GIL-C","peck's skipper",1
"2016-Spr","2016","Spr","LTR","LTR-C","peck's skipper",1
"2017-Spr","2017","Spr","LTR","LTR-C","peck's skipper",1
"2017-SnS","2017","SnS","LTR","LTR-E","peck's skipper",3
"2016-Con","2016","Con","LTR","LTR-W","peck's skipper",1
"2017-Con","2017","Con","LTR","LTR-W","peck's skipper",1
"2016-Con","2016","Con","PYW","PYW-S","peck's skipper",1
"2016-Con","2016","Con","GIL","GIL-S","question mark",1
"2015-SnS","2015","SnS","LTR","LTR-E","question mark",1
"2016-SnS","2016","SnS","GIL","GIL-C","red admiral",1
"2017-Spr","2017","Spr","GIL","GIL-N","red admiral",1
"2015-Con","2015","Con","GIL","GIL-S","red admiral",1
"2015-SnS","2015","SnS","LTR","LTR-E","red admiral",3
"2015-Con","2015","Con","LTR","LTR-W","red admiral",1
"2015-Spr","2015","Spr","PYW","PYW-C","red admiral",1
"2014-SnS","2014","SnS","PYW","PYW-N","red admiral",1
"2016-Con","2016","Con","PYW","PYW-S","red-spotted purple",1
"2014-SnS","2014","SnS","GIL","GIL-C","regal fritillary",3
"2016-Spr","2016","Spr","LTR","LTR-C","regal fritillary",1
"2014-SnS","2014","SnS","LTR","LTR-E","regal fritillary",1
"2015-SnS","2015","SnS","LTR","LTR-E","regal fritillary",1
"2014-Con","2014","Con","LTR","LTR-W","regal fritillary",1
"2017-Con","2017","Con","LTR","LTR-W","regal fritillary",1
"2015-Spr","2015","Spr","PYW","PYW-C","regal fritillary",5
"2014-SnS","2014","SnS","PYW","PYW-N","regal fritillary",1
"2015-SnS","2015","SnS","PYW","PYW-N","regal fritillary",2
"2016-SnS","2016","SnS","PYW","PYW-N","regal fritillary",1
"2014-Con","2014","Con","PYW","PYW-S","regal fritillary",1
"2015-Con","2015","Con","PYW","PYW-S","regal fritillary",2
"2014-SnS","2014","SnS","GIL","GIL-C","silver-spotted skipper",1
"2016-Con","2016","Con","GIL","GIL-S","silver-spotted skipper",5
"2017-Con","2017","Con","GIL","GIL-S","silver-spotted skipper",1
"2016-SnS","2016","SnS","LTR","LTR-E","silver-spotted skipper",2
"2015-Con","2015","Con","PYW","PYW-S","silver-spotted skipper",1
"2017-Spr","2017","Spr","GIL","GIL-N","silvery checkerspot",1
"2014-Con","2014","Con","GIL","GIL-S","silvery checkerspot",1
"2017-Con","2017","Con","GIL","GIL-S","silvery checkerspot",1
"2016-SnS","2016","SnS","LTR","LTR-E","silvery checkerspot",1
"2016-SnS","2016","SnS","PYW","PYW-N","silvery checkerspot",1
"2016-Con","2016","Con","GIL","GIL-S","summer azure",1
"2014-Con","2014","Con","LTR","LTR-W","summer azure",1
"2014-SnS","2014","SnS","GIL","GIL-C","tawny-edged skipper",1
"2017-SnS","2017","SnS","GIL","GIL-C","tawny-edged skipper",3
"2016-Spr","2016","Spr","GIL","GIL-N","tawny-edged skipper",1
"2014-Con","2014","Con","GIL","GIL-S","tawny-edged skipper",1
"2016-Spr","2016","Spr","LTR","LTR-C","tawny-edged skipper",4
"2017-Spr","2017","Spr","LTR","LTR-C","tawny-edged skipper",2
"2017-SnS","2017","SnS","LTR","LTR-E","tawny-edged skipper",2
"2014-Con","2014","Con","LTR","LTR-W","tawny-edged skipper",1
"2016-Con","2016","Con","LTR","LTR-W","tawny-edged skipper",1
"2017-Con","2017","Con","LTR","LTR-W","tawny-edged skipper",3
"2014-Con","2014","Con","PYW","PYW-S","tawny-edged skipper",2
"2015-Spr","2015","Spr","GIL","GIL-N","viceroy",2
"2016-Spr","2016","Spr","GIL","GIL-N","viceroy",1
"2016-Con","2016","Con","LTR","LTR-W","viceroy",1
"2017-Con","2017","Con","LTR","LTR-W","viceroy",1
